tidyverse,tidyverse,tidyverse_conflicts
tidyverse,tidyverse,tidyverse_deps
tidyverse,tidyverse,tidyverse_logo
tidyverse,tidyverse,tidyverse_packages
tidyverse,tidyverse,tidyverse_sitrep
tidyverse,tidyverse,tidyverse_update
patchwork,thomasp85,align_patches
patchwork,thomasp85,align_plots
patchwork,thomasp85,area
patchwork,thomasp85,free
patchwork,thomasp85,get_dim
patchwork,thomasp85,get_max_dim
patchwork,thomasp85,guide_area
patchwork,thomasp85,inset_element
patchwork,thomasp85,patchGrob
patchwork,thomasp85,patchworkGrob
patchwork,thomasp85,plot_annotation
patchwork,thomasp85,plot_layout
patchwork,thomasp85,plot_spacer
patchwork,thomasp85,set_dim
patchwork,thomasp85,wrap_elements
patchwork,thomasp85,wrap_ggplot_grob
patchwork,thomasp85,wrap_plots
patchwork,thomasp85,wrap_table
plotly,plotly,%>%
plotly,plotly,add_annotations
plotly,plotly,add_area
plotly,plotly,add_bars
plotly,plotly,add_boxplot
plotly,plotly,add_choropleth
plotly,plotly,add_contour
plotly,plotly,add_data
plotly,plotly,add_fun
plotly,plotly,add_heatmap
plotly,plotly,add_histogram
plotly,plotly,add_histogram2d
plotly,plotly,add_histogram2dcontour
plotly,plotly,add_image
plotly,plotly,add_lines
plotly,plotly,add_markers
plotly,plotly,add_mesh
plotly,plotly,add_paths
plotly,plotly,add_pie
plotly,plotly,add_polygons
plotly,plotly,add_ribbons
plotly,plotly,add_scattergeo
plotly,plotly,add_segments
plotly,plotly,add_sf
plotly,plotly,add_surface
plotly,plotly,add_table
plotly,plotly,add_text
plotly,plotly,add_trace
plotly,plotly,animation_button
plotly,plotly,animation_opts
plotly,plotly,animation_slider
plotly,plotly,api
plotly,plotly,api_create
plotly,plotly,api_download_grid
plotly,plotly,api_download_plot
plotly,plotly,arrange
plotly,plotly,arrange_
plotly,plotly,as_widget
plotly,plotly,as.widget
plotly,plotly,attrs_selected
plotly,plotly,colorbar
plotly,plotly,config
plotly,plotly,distinct
plotly,plotly,distinct_
plotly,plotly,do
plotly,plotly,do_
plotly,plotly,embed_notebook
plotly,plotly,event_data
plotly,plotly,event_register
plotly,plotly,event_unregister
plotly,plotly,export
plotly,plotly,filter
plotly,plotly,filter_
plotly,plotly,geom2trace
plotly,plotly,get_figure
